Code (reqd),Supplier Name (reqd),Country (reqd),Contact First Name,Contact Last Name,Contact Email,Contact Phone,Postal Address,Notes
AMFOOD,A&M Food Distributors Limited,New Zealand,Alistair,Hay,a.mchilledfoods@gmail.com,M:027 568 5137,48 Te Korari Street Marshland Christchurch 8083,
ABLETT,Ablett Quarry Management Ltd,New Zealand,Grant,,grant.ablett@yahoo.co.nz,03 3442922,335 Pound Road RD6 Christchurch 7676,
ABOUTI,About Irrigation,New Zealand,Steve,,,M:027 4898886,11 Luxton Place Mount Pleasant Christchurch 8081,
ABOUTT,About Trees Limited,New Zealand,Stephen,,stephenmurchison1@gmail.com,03 3374926,126 Huntsbury Ave Christchurch  8022,
ACANDJ,AC And JS Bremner,New Zealand,Andy or Julia,Bremner,,M:64 27 7070003,205 High Street Oxford  7430,
ACADEM,Academy Hire 2011 Ltd,New Zealand,Academy Hire,,academyhire@xtra.co.nz,03 3477473,846 Jones Road Rolleston  7677,http://www.academyhire.co.nz
ACCESS,Accessman Christchurch Ltd,New Zealand,Accounts,,accounts@accessman.co.nz,03 3413571,PO Box 11281 Sockburn Christchurch 8443,http://www.accessman.co.nz
ACCIDE,Accident Compensation Corporation,New Zealand,ACC,,business@acc.co.nz,0800 222 776,   ,
ACTIONPC,Action Powder Coating 2015 Ltd,New Zealand,Info,,info@actionpowdercoating.co.nz,03 349 0498,PO Box 23005 Templeton Christchurch 8445,
ACTIONSC,Action Security And Access Ltd,New Zealand,Admin,,admin@actionsecurity.co.nz,03 384 0995,PO Box 76179 Northwood Christchurch 8548,
ADVANCEG,Advanced Engineering Group,New Zealand,Accounts,,accounts@advanced.eng.co.nz,03 3849595,PO Box 19915 Woolston Christchurch 8241,
ADVANCMT,Advanced Maintenance (Chch) Ltd,New Zealand,Advanced Maintenance,,amchch@hotmail.co.nz,"03 366 5207, M:027 4375 623",PO Box 2038 Christchurch  8140,
ADVANCEQ,Advancequip,New Zealand,Admin,,admin@advancequip.co.nz,(03) 203-9110,PO Box 56 Gore  9740,
AERONZ,Aero NZ Ltd,New Zealand,Jasmine,,jasmine@aero.net.nz,03 3181211,Unit 6-19 William Lewis Drive Sockburn Christchurch ,http://www.aero.net.nz
AFFORD,Affordable Fences And Landscapes Limited,New Zealand,,,,M:027 2212708,15 Kilkenny Place Belfast Christchurch 8051,
AGRICU,Agriculture Services Ltd,New Zealand,,,,64 6 3503947,PO Box 1635 Palmerston North  4440,http://www.agservices.co.nz
AIMACE,Aimac Electronics Ltd,New Zealand,Accounts,,accounts@aimac.co.nz,"03 3413280, M:027 4242661",14 Stanbury Avenue Spreydon Christchurch 8024,http://www.aimac.co.nz
AIRLIQ,Air Liquide NZ Ltd,New Zealand,Bethany,,bethany.lazenby-sc@airliquide.com,0800 838 838,PO Box 12846 Penrose Auckland 1642,
ALANJK,Alan J Kerr,New Zealand,Alan,,alancarolee@xtra.co.nz,03 2368998,59 Hillary Street Winton  9720,
ALLIED,Allied Concrete Limited,New Zealand,,,,03 3078019,PO Box 574 Ashburton  7740,
ALLWOO,Allwood Trees Ltd,New Zealand,,,,349 9240,366 Halswell Junction Road Christchurch  8025,
ALPHAE,Alpha Equipment,New Zealand,Accounts,,accounts@alphaequipment.co.nz,03 9612246,PO BOX 16776 Hornby Christchurch ,
ALSCON,Alsco North Canterbury,New Zealand,Admin,,admin.christchurch@alsco.co.nz,0800 425726,P O Box 7118 Christchurch  ,Deliveries are every 2nd Wednesday
ANDREW,Andrews Of Canterbury Contracting Ltd,New Zealand,,,,M:027 899 3556,11 Torlesse Street Rangiora  7400,
