Code,Supplier_Name,Country,Contact_First_Name,Contact_Last_Name,Contact_Email,Contact_Phone,Postal_Address,Notes
ABLETT,ABLETT QUARRY MANAGEMENT LTD,New Zealand,,,grant.ablett@yahoo.co.nz,03 3442922,RD6 RD6 Christchurch 7676    ,
ABOUTI,About Irrigation,New Zealand,Steve,,,027 4898886,Mount Pleasant Mount Pleasant   Christchurch  8081,
ABOUTT,ABOUT TREES LIMITED,New Zealand,,,stephenmurchison1@gmail.com,03 3374926,Christchurch 8022 Christchurch 8022     ,
ACADEM,Academy Hire 2011 Ltd,New Zealand,,,academyhire@xtra.co.nz,03 3477473,Rolleston Rolleston   Rolleston  7677,http://www.academyhire.co.nz
ACANDJ,AC and JS Bremner,New Zealand,Andy or Julia,Bremner,,64 27 7070003,    Oxford Canterbury 7430,
ACCESS,Accessman Christchurch Ltd,New Zealand,,,accounts@accessman.co.nz,03 3413571,Sockburn Sockburn   Christchurch  8443,http://www.accessman.co.nz
ACCIDE,ACCIDENT COMPENSATION CORPORATION,New Zealand,,,business@acc.co.nz,0800 222 776,      ,
ACTION,Action Powder Coating 2015 Ltd,New Zealand,,,info@actionpowdercoating.co.nz,03 349 0498,Templeton Templeton   Christchurch  8445,
ACTION1,Action Security and Access Ltd,New Zealand,,,admin@actionsecurity.co.nz,03 384 0995,Northwood Northwood   Christchurch  8548,
ADVANC,Advanced Engineering Group,New Zealand,,,accounts@advanced.eng.co.nz,03 3849595,Woolston Woolston   Christchurch  8241,
ADVANC1,ADVANCED MAINTENANCE (CHCH) LTD,New Zealand,,,amchch@hotmail.co.nz,027 4375 623,    Christchurch  8140,
ADVANC2,Advancequip,New Zealand,,,admin@advancequip.co.nz,(03) 203-9110,Gore Gore   Gore  9740,
AERONZ,Aero NZ Ltd,New Zealand,,,jasmine@aero.net.nz,03 3181211,Sockburn Sockburn   Christchurch Canterbury ,http://www.aero.net.nz
AFFORD,Affordable Fences and Landscapes Limited,New Zealand,,,,027 2212708,Belfast Belfast   Christchurch  8051,
AFOODD,A Food Distributors Limited,New Zealand,Alistair,Hay,a.mchilledfoods@gmail.com,027 568 5137,Marshland Marshland   Christchurch  8083,
AGRICU,Agriculture Services Ltd,New Zealand,,,,64 6 3503947,    Palmerston North  4440,http://www.agservices.co.nz
AIMACE,AIMAC Electronics Ltd,New Zealand,,,accounts@aimac.co.nz,027 4242661,Spreydon Spreydon   Christchurch  8024,http://www.aimac.co.nz
AIRLIQ,Air Liquide NZ Ltd,New Zealand,,,bethany.lazenby-sc@airliquide.com,0800 838 838,Penrose Penrose   Auckland  1642,
ALANJK,ALAN J KERR,New Zealand,,,alancarolee@xtra.co.nz,03 2368998,    WINTON  9720,
ALLIED,Allied Concrete Limited,New Zealand,,,,03 3078019,    Ashburton  7740,
ALLWOO,ALLWOOD TREES LTD,New Zealand,,,,349 9240,Christchurch Christchurch 8025    ,
ALPHAE,ALPHA EQUIPMENT,New Zealand,,,accounts@alphaequipment.co.nz,03 9612246,Hornby Hornby Christchurch    ,
ALSCON,ALSCO NORTH CANTERBURY,New Zealand,,,admin.christchurch@alsco.co.nz,0800 425726,Christchurch Christchurch   Deliveries are every 2nd Wednesday  ,
ANDREW,Andrews of Canterbury Contracting Ltd,New Zealand,,,,278993556,Rangiora Rangiora   Rangiora  7400,
ANTHON,Anthony Harper,New Zealand,Karen,Kemp,karen.kemp@ah.co.nz,09 920-6466,Shortland Street Shortland Street   Auckland  1140,
AORANG,Aorangi Debt Collection,New Zealand,,,creditguard@xtra.co.nz,03 3439988,Tower Junction Tower Junction   Christchurch  8149,
APPLET,APPLETONS TREE NURSERY LTD,New Zealand,,,info@appletons.co.nz,(03) 541 8309,RD 1 Wakefield RD 1 Wakefield Nelson 7095   ,
ARCADI,Arcadia Plants Ltd,New Zealand,,,,342 5412,R D 6     Yaldhurst R D 6     Yaldhurst CHRISTCHURCH    ,
